Book_Type,Class,Book_Status,Book_Category,Name_of_Book,Author_Name,Publication,Location,Volume_Name,Edition,Publication_Year,No_of_Pages,Quantity,ISBN_No,Invoice_No,Price,Purchase_Date,
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,CLASSIC RABINDRANATH TAGORE,NA,NA,SHELF 6,NA,NA,2011,1126,1,9780143416326.00,NA,599,0,01-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE GREAT WORK OF RABINDRANATH TAGORE,NA,NA,SHELF 6,NA,NA,2012,303,1,9789381438381.00,NA,125,0,02-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,MODERN CLASSIC SELECTED POEMS,NA,NA,SHELF 6,NA,NA,1995,208,1,9780140183665.00,NA,298,0,03-01-1960
BIOGRAPHY,,NEW,BIOGRAPHY,MY LIFE IN MY WORD ,NA,NA,SHELF 5,NA,NA,2010,395,1,9780143415350.00,NA,450,0,04-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,COLLECTED STORIES RABINDRANATH TAGORE,NA,NA,SHELF 6,NA,NA,2013,984,1,9788176060806.00,NA,195,0,05-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE NIGHT TRAIN AT DEOLI,AND OTHER STORIES",NA,NA,SHELF 6,NA,NA,1988,245,1,9780140116151.00,NA,275,0,06-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,RAIN IN THE MOUNTAIN NOTE FROM THE HIMALAYAS,NA,NA,SHELF 6,NA,NA,1993,251,1,9780140236910.00,NA,299,0,07-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE LAMP IS LIT LEAVES FROM A JOURNAL,NA,NA,SHELF 6,NA,NA,1998,200,1,9780140278040.00,NA,299,0,08-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,INDIAN RAILWAY STORIES,NA,NA,SHELF 6,NA,NA,1994,184,1,9780140240665.00,NA,199,0,09-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,OUR TREES STILL GROW IN DEHRA,NA,NA,SHELF 6,NA,NA,1991,108,1,9780140169027.00,NA,225,0,10-01-1960
BIOGRAPHY,,NEW,BIOGRAPHY,"SCENCE FROM AWRITERS LIFE,A MEMOIR",NA,NA,SHELF 5,NA,NA,1997,178,1,9780140270662.00,NA,250,0,11-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,A SEASON OF GHOST,NA,NA,SHELF 6,NA,NA,1999,210,1,9780140287844.00,NA,250,0,12-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,TIME STOPS AT SHAMLI AND OTHER STORIES,NA,NA,SHELF 6,NA,NA,1989,180,1,9780140128420.00,NA,225,0,13-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,STRANGERS IN THE NIGHT TWO NOVELLAS,NA,NA,SHELF 6,NA,NA,1996,143,1,9780140240658.00,NA,199,0,14-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,BOOK OF HUMOR,NA,NA,SHELF 6,NA,NA,2008,278,1,9780143063438.00,NA,299,0,15-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,DELHI IS NOT FAR,NA,NA,SHELF 6,NA,NA,2003,111,1,9780144000951.00,NA,150,0,16-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE ROOM ON THE ROOF,NA,NA,SHELF 6,NA,NA,2008,173,1,9780143330790.00,NA,199,0,17-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,RUSTY GOES TO LONDON,NA,NA,SHELF 6,NA,NA,2004,239,1,9780143335955.00,NA,275,0,18-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,RUSTY COMES HOME,NA,NA,SHELF 6,NA,NA,2003,239,1,9780143334859.00,NA,275,0,19-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,RUASTY RUNS AWAY,NA,NA,SHELF 6,NA,NA,2003,199,1,9780143335436.00,NA,275,0,20-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,RUSTY AND THE LEOPARD`,NA,NA,SHELF 6,NA,NA,2003,295,1,9780143335689.00,NA,275,0,21-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,PANTHER'S MOON AND OTHER STORIES,NA,NA,SHELF 6,NA,NA,1991,128,1,9780140360448.00,NA,150,0,22-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE PARROT WHO WOULDN'T TALK,NA,NA,SHELF 6,NA,NA,2008,106,1,9780143330684.00,NA,150,0,23-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE HIDDEN POOL,NA,NA,SHELF 6,NA,NA,2005,83,1,9780143334873.00,NA,150,0,24-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,ESCAPE FROM JAVA AND OTHER TALES OF DANGER,NA,NA,SHELF 6,NA,NA,2010,172,1,9780143331346.00,NA,199,0,25-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,TALES AND LEGENDS FROM INDIA,NA,NA,SHELF 6,NA,NA,1990,153,1,9788129119193.00,NA,140,0,26-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,SNAPPY SURPRISES,NA,NA,SHELF 6,NA,NA,2007,172,1,9788129110701.00,NA,140,0,27-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,ALL ROADS LEAD TO GANGA,NA,NA,SHELF 6,NA,NA,2007,121,1,9788129112132.00,NA,140,0,28-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,WICKED STORIES,NA,NA,SHELF 6,NA,NA,2005,190,1,9788129106834.00,NA,140,0,29-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THRILLS AND SPILLS,NA,NA,SHELF 6,NA,NA,2005,181,1,9798129107946.00,NA,140,0,30-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,SHIKAR STORIES,NA,NA,SHELF 6,NA,NA,2004,142,1,9798129107953.00,NA,140,0,31-01-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE BLUE UMBRELLA,NA,NA,SHELF 6,NA,NA,1992,82,1,9788171673407.00,NA,70,0,01-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,ANGRY RIVER,NA,NA,SHELF 6,NA,NA,1992,84,1,9788171675128.00,NA,70,0,02-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,STORIES SHORT AND SWEET,NA,NA,SHELF 6,NA,NA,2013,87,1,9788129124630.00,NA,150,0,03-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE RAT FEAST ,A TAGORE OMNIBUS",NA,NA,SHELF 8,NA,NA,2013,238,1,9789350093160.00,NA,350,0,04-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE LU QUARTEL SUPER SLEUTHS & OTHER STORIES,NA,NA,SHELF 8,NA,NA,2012,417,1,9789350093221.00,NA,399,0,05-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,AMAR AIYAAR KING OF TRICKSTERS,NA,NA,SHELF 8,NA,NA,2012,325,1,9789350095478.00,NA,375,0,06-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,A WONDER BOOK OF GIRL'S & BOY'S,NA,NA,SHELF 8,NA,NA,2011,246,1,9789350092880.00,NA,195,0,07-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"KONI, A STORY OF A CHAMPION",NA,NA,SHELF 8,NA,NA,2010,185,1,9789380143552.00,NA,195,0,08-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,BEAUTIFUL STORIES OF SHAKESPEARE,NA,NA,SHELF 8,NA,NA,2010,250,1,9789380143569.00,NA,195,0,09-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"RAJULA, AND THE WEB OF DANGER",NA,NA,SHELF 8,NA,NA,2012,228,1,9789350093313.00,NA,299,0,10-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,GRIMM'S FAIRY TALES,NA,NA,SHELF 8,NA,NA,2008,238,1,9788184081848.00,NA,140,0,11-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,WULTHERING HEIGHTS,NA,NA,SHELF 8,NA,NA,2012,240,1,9788184083323.00,NA,140,0,12-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE STRANGE CASE OF DR. JEKLL & MR. HYDE,NA,NA,SHELF 8,NA,NA,2008,238,1,9788184080957.00,NA,140,0,13-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,SLEEPING BEAUTY AND OTHER STORIES,NA,NA,SHELF 8,NA,NA,2010,242,1,9788184082180.00,NA,140,0,14-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,OLIVER TWIST,NA,NA,SHELF 8,NA,NA,2008,238,1,9788184080889.00,NA,140,0,15-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE MAN IN IRON MASK,NA,NA,SHELF 8,NA,NA,2008,238,1,9788184082043.00,NA,140,0,16-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,EMMA,NA,NA,SHELF 8,NA,NA,2012,240,1,9788184083330.00,NA,140,0,17-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE MERRY ADVENTURE OF ROBIN HOOD,NA,NA,SHELF 8,NA,NA,2008,238,1,9788184080964.00,NA,140,0,18-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE ADVENTURE OF TOM SAWYER,NA,NA,SHELF 8,NA,NA,2008,238,1,9788184080919.00,NA,140,0,19-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE MAYOR OF CASTERBRIDGE,NA,NA,SHELF 8,NA,NA,2012,240,1,9788184083354.00,NA,140,0,20-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,GULLIVER'S TRAVEL,NA,NA,SHELF 8,NA,NA,2008,238,1,9788184080926.00,NA,140,0,21-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,SENSE AND SENSIBILITY,NA,NA,SHELF 8,NA,NA,2012,240,1,9788184083309.00,NA,140,0,22-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,A LITTLE PRINCESS,NA,NA,SHELF 12,NA,NA,2012,240,1,9788184083316.00,NA,140,0,23-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,FAR FROM THE MADDING CROWD,NA,NA,SHELF 8,NA,NA,2012,240,1,9788184083347.00,NA,140,0,24-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,A TALE OF TWO CITIES,NA,NA,SHELF 8,NA,NA,2008,238,1,9788184082029.00,NA,140,0,25-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE ADVENTURE OF HUCKLEBERRY FINN,NA,NA,SHELF 8,NA,NA,2008,238,1,9788184081862.00,NA,140,0,26-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE THREE MUSKETEERS,NA,NA,SHELF 8,NA,NA,2008,238,1,9788184082074.00,NA,140,0,27-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE RETURNS OF SHERLOCK HOLMES,NA,NA,SHELF 8,NA,NA,2012,250,1,9788184083408.00,NA,140,0,28-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"SHERLOCK HOLMES, A STUDY IN SCARLET",NA,NA,SHELF 8,NA,NA,2012,266,1,9788184083439.00,NA,140,0,29-02-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE HOUND OF THE BASKERVILLES,NA,NA,SHELF 8,NA,NA,2010,242,1,9788184082173.00,NA,140,0,01-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,TWENTY THOUSAND LEAGUES UNDER THE SEA,NA,NA,SHELF 8,NA,NA,2001,268,1,9788179292549.00,NA,130,0,02-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,LITTLE WOMAN,NA,NA,SHELF 8,NA,NA,2001,199,1,9788179292207.00,NA,130,0,03-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,WAR OF WORLDS,NA,NA,SHELF 8,NA,NA,2002,232,1,9788179292280.00,NA,130,0,04-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,KING SOLOMAN'S MINES,NA,NA,SHELF 8,NA,NA,2001,256,1,9788179292273.00,NA,130,0,05-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,KIDNAPPED,NA,NA,SHELF 8,NA,NA,2001,224,1,9788179292617.00,NA,130,0,06-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,TREASURE ISLAND,NA,NA,SHELF 8,NA,NA,2001,208,1,9788179292495.00,NA,130,0,07-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,GREAT EXPECTATIONS,NA,NA,SHELF 8,NA,NA,2001,208,1,9788179292198.00,NA,130,0,08-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,DAVID COPPERFIELD,NA,NA,SHELF 8,NA,NA,2001,208,1,9788179292592.00,NA,130,0,09-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,ALICE  IN WONDERLAND,NA,NA,SHELF 8,NA,NA,2001,208,1,9788179292518.00,NA,130,0,10-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE TIME MACHINE,NA,NA,SHELF 8,NA,NA,2001,200,1,9788179292297.00,NA,130,0,11-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,HEIDI,NA,NA,SHELF 8,NA,NA,2001,240,1,9788179292631.00,NA,130,0,12-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,JOURNEY TO THE CENTRE OF THE EARTH,NA,NA,SHELF 8,NA,NA,2001,240,1,9788179292501.00,NA,130,0,13-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE COUNT OF MONTE CRISTO,NA,NA,SHELF 8,NA,NA,2001,255,2,9788179292228.00,NA,130,0,14-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,PRIDE AND PREJUDICE,NA,NA,SHELF 8,NA,NA,2001,263,1,9788179292266.00,NA,130,0,15-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE INVISIBLE MAN,NA,NA,SHELF 8,NA,NA,2001,199,1,9788179292259.00,NA,130,0,16-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,AROUND THE WORLD IN EIGHTY DAYS,NA,NA,SHELF 8,NA,NA,2001,290,1,9788179292525.00,NA,130,0,17-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,MOBY DICK,NA,NA,SHELF 8,NA,NA,2001,256,1,9788179292570.00,NA,130,0,18-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE ADVENTURE OF ROBINSON CRUSOE,NA,NA,SHELF 8,NA,NA,2001,262,1,9788179292587.00,NA,130,0,19-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,JUNGLE BOOK,NA,NA,SHELF 8,NA,NA,2001,238,1,9788179292181.00,NA,130,0,20-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,BLACK BEAUTY,NA,NA,SHELF 8,NA,NA,2001,184,1,9788179292211.00,NA,130,0,21-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE LITTLE PRINCE,NA,NA,SHELF 8,NA,NA,2001,200,1,9788179292242.00,NA,130,0,22-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE ADVENTURE OF SHERLOCK HOLMES,NA,NA,SHELF 8,NA,NA,2001,206,1,9788179292235.00,NA,130,0,23-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE COUNT OF MONTE CRISTO,NA,NA,SHELF 8,NA,NA,2001,255,2,9788179292228.00,NA,130,0,24-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE HUNGBACK OF NOTRE-DAME,NA,NA,SHELF 8,NA,NA,2010,242,1,0.00,NA,140,0,25-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,MALGUDI SCHOOL DAYS,NA,NA,SHELF 6,NA,NA,2002,238,1,9780143330981.00,NA,199,0,26-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,MALGUDI ADVENTURE,NA,NA,SHELF 6,NA,NA,2004,270,1,9780143335900.00,NA,250,0,27-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,UNDER THE BANYAN TREE & OTHER STORIES,NA,NA,SHELF 6,NA,NA,1992,193,1,9788185986142.00,NA,115,0,28-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE PAINTER OF SIGNS,NA,NA,SHELF 6,NA,NA,1986,183,1,9788185986104.00,NA,105,0,29-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,A TIGER FOR MALGUDI,NA,NA,SHELF 6,NA,NA,1986,176,1,9788185986111.00,NA,100,0,30-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,MR.SAMPATH THE PRINTER OF MALGUDI,NA,NA,SHELF 6,NA,NA,1955,219,1,9788185986043.00,NA,115,0,31-03-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,TALKTATIVE MAN ,NA,NA,SHELF 6,NA,NA,1983,123,1,9788185986128.00,NA,100,0,01-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE VENDOR OF SWEETS,NA,NA,SHELF 6,NA,NA,1967,185,1,9788185986098.00,NA,120,0,02-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,WAITING FOR THE MAHATMA,NA,NA,SHELF 6,NA,NA,1967,256,1,9788185986067.00,NA,125,0,03-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE FINANCIAL EXPERTS,NA,NA,SHELF 6,NA,NA,1958,217,1,9788185986050.00,NA,120,0,04-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE WORLD OF NAGARAJ,NA,NA,SHELF 6,NA,NA,1990,186,1,9788185986135.00,NA,95,0,05-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE  DARK ROOM,NA,NA,SHELF 6,NA,NA,1933,162,1,9788185986029.00,NA,120,0,06-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE PAINTER OF SIGNS,NA,NA,SHELF 6,NA,NA,1977,142,1,9780140185492.00,NA,299,0,07-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE EMERALD ROUTE,NA,NA,SHELF 6,NA,NA,1977,177,1,9780140289183.00,NA,299,0,08-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,MALGUDI DAYS,NA,NA,SHELF 6,NA,NA,1972,264,1,9780143039655.00,NA,299,0,09-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE NMAHABHARATA,NA,NA,SHELF 6,NA,NA,1978,179,1,9780141185002.00,NA,350,0,10-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,MALGUDI DAYS,NA,NA,SHELF 6,NA,NA,1972,264,1,9780143039655.00,NA,299,0,11-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,A WRITER'S NIGHTMARE,NA,NA,SHELF 6,NA,NA,1988,240,1,9780140107913.00,NA,299,0,12-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,MALGUDI LAND SCAPES,NA,NA,SHELF 6,NA,NA,1992,394,1,9780140586671.00,NA,350,0,13-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE RAMAYANA,NA,NA,SHELF 6,NA,NA,1972,171,1,9780140187007.00,NA,250,0,14-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,MY DATELESS DIARY AN AMERICAN JOURNEY,NA,NA,SHELF 6,NA,NA,1964,187,1,9780140109412.00,NA,250,0,15-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE CURSE OF THE GODDESSS, (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2003,98,1,9780143335658.00,NA,150,0,16-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE BANDITS OF BOMBAY , (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2003,87,1,9780143335795.00,NA,150,0,17-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE HOUSE OF DEATH, (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2003,95,1,9780143335719.00,NA,125,0,18-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE INCIDENT OF THE KALKA MAIL, (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2004,95,1,9780143335788.00,NA,150,0,19-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"TROUBLE IN GANGTOK, (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2003,93,1,9780143335641.00,NA,150,0,20-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE SECRET OF THE CEMETERY, (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2004,110,1,9780143335801.00,NA,150,0,21-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE MYSTERYOF THE ELEPHANT GOD, (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2003,104,1,9780143335740.00,NA,150,0,22-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE CRIMINALS OF KATHMANDU, (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2004,89,1,9780143335726.00,NA,150,0,23-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE ROYAL BENGAL MYSTERY, (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2003,101,1,9780143335733.00,NA,150,0,24-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"A KILLER IN KAILASH, (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2003,98,1,9780143335665.00,NA,125,0,25-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE EMPEROR'S RING, (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2003,105,1,9780143335634.00,NA,150,0,26-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"THE GOLDEN FORTRESS, (THE ADVENTURE OF FELUDA)",NA,NA,SHELF 6,NA,NA,2004,119,1,9780143335771.00,NA,150,0,27-04-1960
BIOGRAPHY,,NEW,BIOGRAPHY,SPEAKING OF FILMS,NA,NA,SHELF 5,NA,NA,2005,220,1,9780144000265.00,NA,299,0,28-04-1960
BIOGRAPHY,,NEW,BIOGRAPHY,CHILDHOOD DAY'S A MEMOIR,NA,NA,SHELF 5,NA,NA,1998,173,1,9780140250794.00,NA,299,0,29-04-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE DAIRY OF A SPACE TRAVELLER & OTHER STORIES,NA,NA,SHELF 6,NA,NA,2004,259,1,9780143330905.00,NA,275,0,30-04-1960
OTHERS,,NEW,OTHERS,IGNITED MINDS,NA,NA,SHELF 8,NA,NA,2002,205,1,9780143029823.00,NA,199,0,01-05-1960
BIOGRAPHY,,NEW,BIOGRAPHY,TURNING POINTS,NA,NA,SHELF 5,NA,NA,2012,182,1,9789350293478.00,NA,225,0,02-05-1960
OTHERS,,NEW,OTHERS,"A VISSION OF NEW MILLENNIUM ,INDIA 2020",NA,NA,SHELF 8,NA,NA,1998,324,1,9780140278330.00,NA,350,0,03-05-1960
OTHERS,,NEW,OTHERS,"MISSION INDIA , AVISSION FOR INDIAN YOUTH",NA,NA,SHELF 8,NA,NA,2005,103,1,9780143334996.00,NA,175,0,04-05-1960
OTHERS,,NEW,OTHERS,YOU ARE UNIQUE,NA,NA,SHELF 8,NA,NA,2012,172,1,9788189534189.00,NA,285,0,05-05-1960
BIOGRAPHY,,NEW,BIOGRAPHY,WINGS OF FIRE,NA,NA,SHELF 5,NA,NA,1999,180,1,9788173711466.00,NA,275,0,06-05-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,THE TIME MACHINE,NA,NA,SHELF 8,NA,NA,2007,224,1,9788174906427.00,NA,145,0,07-05-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,FRANKENSTEIN,NA,NA,SHELF 8,NA,NA,2007,222,1,9788174906373.00,NA,145,0,08-05-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,KING ARTHUR'S COURT,NA,NA,SHELF 8,NA,NA,2007,224,1,9788174907028.00,NA,145,0,09-05-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"FIVE ON A TREASURE ISLAND, (THE FAMOUS FIVE)",NA,NA,SHELF 8,NA,NA,2004,244,1,9780340894545.00,NA,150,0,10-05-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"FIVE GO ADVENTURING AGAIN, (THE FAMOUS FIVE)",NA,NA,SHELF 8,NA,NA,2004,246,1,9780340894552.00,NA,150,0,11-05-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"FIVE RUNWAY TOGETHER, (THE FAMOUS FIVE)",NA,NA,SHELF 8,NA,NA,2004,264,1,9780340894569.00,NA,150,0,12-05-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"FIVE GO TO SMUGGLER'S TAP, (THE FAMOUS FIVE)",NA,NA,SHELF 8,NA,NA,2004,266,1,9780340894576.00,NA,150,0,13-05-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"FIVE GO IN A CARAVAN, (THE FAMOUS FIVE)",NA,NA,SHELF 8,NA,NA,2004,278,1,9780340894583.00,NA,150,0,14-05-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"FIVE ON KIRRIN ISLAND, (THE FAMOUS FIVE)",NA,NA,SHELF 8,NA,NA,2004,248,1,9780340894590.00,NA,150,0,15-05-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"FIVE GO OFF TO CAMP, (THE FAMOUS FIVE)",NA,NA,SHELF 8,NA,NA,2004,250,1,9780340894606.00,NA,150,0,16-05-1960
ENGLISH LITEARATURE,,NEW,ENGLISH LITEARATURE,"FIVE GET INTO TROUBLE, (THE FAMOUS FIVE)",NA,NA,SHELF 8,NA,NA,2004,246,1,9780340894613.00,NA,150,0,17-05-1960
