Book_Type,Class,Book_Status,Book_Category,Name_of_Book,Author_Name,Publication,Location,Volume_Name,Edition,Publication_Year,No_of_Pages,Quantity,ISBN_No,Invoice_No,Price,Purchase_Date,Sub-Location
STORY,NA,Old,ENGLISH LITEARATURE,CLASSIC RABINDRANATH TAGORE,RABINDARNATH TAGORE,PENGUIN BOOKS,SHELF 6,CLASSIC RABINDRANATH TAGORE,NA,2011,1126,1,"9780143416326,",NA ,599,01-01-2012,A
STORY,NA,Old,ENGLISH LITEARATURE,THE GREAT WORK OF RABINDRANATH TAGORE,RABINDARNATH TAGORE,LITTLE SCHOLAR,SHELF 6,THE GREAT WORK OF RABINDRANATH TAGORE,NA,2012,303,1,"9789381438381,",NA ,125,01-01-2012,A
STORY,NA,Old,ENGLISH LITEARATURE,MODERN CLASSIC SELECTED POEMS,RABINDARNATH TAGORE,PENGUIN BOOKS,SHELF 6,MODERN CLASSIC SELECTED POEMS,NA,1995,208,1,"9780140183665,",NA ,298,01-01-2012,A
